,Brewery,Name,Rating
1,Nail Brewing Australia,Clout Stout,4.309
2,Mountain Goat Beer,Barrel Breed Imperial Stout 2017,4.195
3,Stone Brewing,Stone Xocoveza,4.156
4,Sierra Nevada Brewing Co.,Narwhal Imperial Stout,3.986
5,4 Pines Brewing Company,Keller Door: Double Cascadian Dark Ale,3.964
6,Mountain Goat Beer,Cross Breed: Seedy Goat Coffee Porter (2015),3.952
7,4 Pines Brewing Company,Keller Door: Imperial India Brown Ale,3.945
8,Mountain Goat Beer,Rare Breed: Captain Amylase Rum Porter,3.901
9,BrewDog,Tactical Nuclear Penguin,3.9
10,4 Pines Brewing Company,Keller Door: Oaked Baltic Porter,3.857
11,Holgate Brewhouse,Temptress,3.837
12,4 Pines Brewing Company,Keller Door: Hoppy Doppelbock,3.815
13,Prancing Pony Brewery,Black Ale,3.772
14,Stone Brewing,Stone Coffee Milk Stout,3.766
15,Bridge Road Brewers,Robust Porter,3.765
16,Charles Wells Brewery,Young's Double Chocolate Stout,3.719
17,The Little Brewing Company,Wicked Elf Porter,3.711
18,Bootleg Brewery,Raging Bull,3.651
19,Mountain Goat Beer,Surefoot Stout,3.649
20,Grand Ridge Brewery,Moonshine,3.622
21,White Rabbit,Dark Ale,3.611
22,Guinness,West Indies Porter,3.605
23,Little Creatures Brewing,The Hotchkiss Six,3.599
24,Morrison Brewery,Jack,3.58
25,Grupa Żywiec,Żywiec Porter,3.573
26,Feral Brewing Company,Smoked Porter,3.571
27,4 Pines Brewing Company,Keller Door: Wintertide Series - Amber Mosaic,3.567
28,Sierra Nevada Brewing Co.,Porter,3.564
29,Monteith's Brewing Co.,Monteith's Black Beer,3.483
30,Malt Shovel Brewery,James Squire Jack of Spades Porter,3.467
31,Van Dieman Brewing,Stacks Bluff,3.461
32,Grand Ridge Brewery,Hatlifter Stout,3.37
33,Coopers Brewery,Dark Ale,3.364
34,Matso's Broome Brewery,Bishop's Best,3.345
35,Pivovar Velké Popovice,Kozel Černý / Dark,3.335
36,Morrison Brewery,Irish Stout,3.314
37,Balmain Brewing Company,Pale Ale,3.305
38,Rebellion Brewery,O'Brien Black Lager,3.198
39,Tooheys Brewing,Old,3.138
